PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0A001_01,RXVyb3Bh,Falseg,B/0/P,IGPEEXHI-1t,139.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy972,False
00M02_01,RWFydGg=,Falsed,F/0/S,IGPEEXHI-1t,124.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines600,True
000E3_01,RXVyb3Bh,Falsei,A/0/S,IGPEEXHI-1t,158.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent304,False
00S03_02,RXVyb3Bh,FalseZ,A/0/S,IGPEEXHI-1t,133.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent599,False
0N004_01,RWFydGg=,False%,F/1/S,IGPEEXHI-1t,116.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines791,True
00W05_01,RWFydGg=,Falsei,F/0/P,EHD Y318.5-22,144.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews95,True
0R006_01,RWFydGg=,Falsee,F/2/S,IGPEEXHI-1t,126.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey151,True
00Z06_02,RWFydGg=,Trued,G/0/S,IGPEEXHI-1t,128.0,False,0.0,0.0,0.0,0.0,,Candra Jacostaffey606,True
000T7_01,RWFydGg=,Falsei,F/3/S,IGPEEXHI-1t,135.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston933,True
0Y008_01,RXVyb3Bh,Truej,B/1/P,55 Rpcrgx t,114.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic582,True
000L8_02,RXVyb3Bh,Trueg,B/1/P,IGPEEXHI-1t,134.0,False,0.0,0.0,,0.0,0.0,Altardr Flatic126,True
0O008_03,RXVyb3Bh,Falsec,B/1/P,55 Rpcrgx t,145.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic611,True
000M9_01,TWFycw==,Falsee,F/1/P,IGPEEXHI-1t,132.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne114,True
0H010_01,RWFydGg=,Falsej,G/1/S,IGPEEXHI-1t,148.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton437,False
0W011_01,RWFydGg=,False#,F/2/P,IGPEEXHI-1t,128.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry736,True
001I2_01,RWFydGg=,Falsed,,IGPEEXHI-1t,131.0,False,32.0,0.0,876.0,0.0,0.0,Justie Pooles219,False
0R014_01,TWFycw==,FalseZ,F/3/P,55 Rpcrgx t,127.0,False,1286.0,122.0,,0.0,0.0,Flats Eccle570,False
00Y15_01,RWFydGg=,False@,F/4/P,55 Rpcrgx t,124.0,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend970,False
0Q016_01,TWFycw==,True@,F/5/P,IGPEEXHI-1t,145.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead237,True
00I17_01,RWFydGg=,Falsef,G/0/P,IGPEEXHI-1t,100.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt40,True
0G017_02,RWFydGg=,Falsed,F/6/P,55 Rpcrgx t,114.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt518,False
002C0_01,RWFydGg=,Truee,E/0/S,IGPEEXHI-1t,101.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez938,False
002U0_02,RWFydGg=,Truei,E/0/S,55 Rpcrgx t,149.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez558,False
00X20_03,RWFydGg=,Truee,E/0/S,55 Rpcrgx t,129.0,False,0.0,0.0,,0.0,0.0,Mollen Mcfaddennon510,False
002B0_04,RWFydGg=,Falsed,E/0/S,IGPEEXHI-1t,110.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley90,True
002O0_05,RWFydGg=,Trueb,E/0/S,EHD Y318.5-22,101.0,False,,0.0,0.0,0.0,0.0,Mael Brantuarez567,False
0Q020_06,RWFydGg=,Falsej,E/0/S,IGPEEXHI-1t,107.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon742,False
002M2_01,TWFycw==,Falsed,D/0/P,IGPEEXHI-1t,121.0,False,980.0,2.0,69.0,0.0,0.0,,False
00N24_01,RXVyb3Bh,Truec,C/2/S,IGPEEXHI-1t,162.0,False,0.0,0.0,,0.0,0.0,Penton Fullided729,True
00C25_01,RWFydGg=,Falsed,F/6/S,IGPEEXHI-1t,115.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson244,False
00S26_01,RXVyb3Bh,Falseh,C/0/P,55 Rpcrgx t,134.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary739,False
002P8_01,TWFycw==,Falseh,F/8/P,IGPEEXHI-1t,143.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare173,False
003Y0_01,RWFydGg=,Falsef,G/4/S,IGPEEXHI-1t,132.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley360,False
003U1_01,TWFycw==,FalseZ,F/9/P,IGPEEXHI-1t,147.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie394,True
003W1_02,TWFycw==,FalseZ,F/9/P,IGPEEXHI-1t,102.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie105,True
00L31_03,TWFycw==,False!,F/9/P,IGPEEXHI-1t,120.0,False,,0.0,1750.0,990.0,0.0,Dontch Datie934,True
0X034_01,RXVyb3Bh,True$,D/1/S,55 Rpcrgx t,128.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly812,True
003W5_01,TWFycw==,False%,D/1/P,55 Rpcrgx t,123.0,False,784.0,964.0,0.0,951.0,0.0,Luse Butte54,False
003J6_01,RWFydGg=,Falsef,F/8/S,55 Rpcrgx t,115.0,,0.0,492.0,48.0,20.0,401.0,Marina Leodger243,False
00M38_01,RWFydGg=,Falseb,F/10/S,55 Rpcrgx t,120.0,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez744,False
0Y039_01,RWFydGg=,Truef,G/1/P,55 Rpcrgx t,130.0,False,0.0,0.0,,0.0,0.0,Jorgie Batthewitt456,False
00J41_01,RWFydGg=,True$,G/2/P,IGPEEXHI-1t,117.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey26,True
004E3_01,RXVyb3Bh,False%,B/3/P,IGPEEXHI-1t,145.0,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand1,False
0N044_01,RWFydGg=,True#,G/3/P,IGPEEXHI-1t,155.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez330,False
004A4_02,RWFydGg=,Truef,G/3/P,55 Rpcrgx t,104.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez488,True
0W044_03,RWFydGg=,Truej,G/3/P,EHD Y318.5-22,121.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez85,True
0P045_01,TWFycw==,Falsea,F/10/P,IGPEEXHI-1t,121.0,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad430,False
0E045_02,TWFycw==,True^,F/10/P,,119.0,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad169,True
005V0_01,RWFydGg=,False%,E/1/S,55 Rpcrgx t,135.0,False,790.0,0.0,0.0,,0.0,Sony Lancis665,False
0O051_01,RWFydGg=,Falsei,E/2/S,IGPEEXHI-1t,156.0,False,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines33,False
00O52_01,RWFydGg=,False%,G/6/S,IGPEEXHI-1t,,False,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton988,False
005H3_01,RWFydGg=,False@,F/11/S,IGPEEXHI-1t,125.0,False,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson7,True
005F6_01,RXVyb3Bh,False#,A/1/S,IGPEEXHI-1t,102.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive936,True
005E6_02,RXVyb3Bh,True%,A/1/S,IGPEEXHI-1t,138.0,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive341,True
005S6_03,RXVyb3Bh,Falsed,A/1/S,IGPEEXHI-1t,127.0,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive787,True
00S58_01,RWFydGg=,Truej,G/7/S,EHD Y318.5-22,136.0,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez820,False
006F1_01,RWFydGg=,Falsei,F/12/S,IGPEEXHI-1t,122.0,False,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez258,False
006F2_01,RWFydGg=,False!,F/13/S,IGPEEXHI-1t,162.0,False,0.0,592.0,0.0,17.0,25.0,Sterry Greeves549,False
00F64_01,TWFycw==,Truei,F/14/S,IGPEEXHI-1t,115.0,False,0.0,0.0,0.0,0.0,0.0,,True
00K64_02,,True%,E/3/S,IGPEEXHI-1t,133.0,False,0.0,0.0,,0.0,0.0,Colatz Keen979,True
0C066_01,RWFydGg=,Falseg,G/6/P,IGPEEXHI-1t,162.0,False,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton959,False
006J7_01,RWFydGg=,Trueh,G/10/S,EHD Y318.5-22,100.0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves995,True
0I067_02,RWFydGg=,False%,G/10/S,IGPEEXHI-1t,118.0,False,1.0,258.0,446.0,0.0,0.0,Celine Leeves906,True
0Z067_03,RWFydGg=,Falsed,F/15/S,55 Rpcrgx t,121.0,False,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves223,False
00M68_01,TWFycw==,Falseb,E/4/S,IGPEEXHI-1t,,False,793.0,0.0,2.0,253.0,0.0,Cinst Binie82,False
0A069_01,RWFydGg=,Falsef,F/16/S,IGPEEXHI-1t,142.0,False,887.0,0.0,9.0,6.0,0.0,,True
007V0_01,RWFydGg=,False#,F/13/P,IGPEEXHI-1t,119.0,False,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt331,False
0M071_01,RWFydGg=,Falsej,F/14/P,IGPEEXHI-1t,117.0,False,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines357,False
007R2_01,RWFydGg=,Falsea,F/17/S,IGPEEXHI-1t,114.0,False,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez232,False
007W3_01,TWFycw==,Falsej,D/3/P,EHD Y318.5-22,137.0,False,46.0,83.0,738.0,0.0,12.0,Gorn Make962,False
00Z74_01,RXVyb3Bh,Falsea,C/3/S,IGPEEXHI-1t,142.0,False,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry963,True
007M6_01,TWFycw==,False!,F/18/S,IGPEEXHI-1t,127.0,False,147.0,0.0,1018.0,0.0,0.0,Conk Dal954,True
00L77_01,TWFycw==,Falseh,F/15/P,IGPEEXHI-1t,128.0,False,14.0,0.0,1295.0,0.0,0.0,Pon Blité324,True
00K78_01,RXVyb3Bh,Falsee,C/4/S,IGPEEXHI-1t,138.0,False,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed105,False
008Z1_01,RWFydGg=,Trueg,G/13/S,IGPEEXHI-1t,113.0,False,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks32,False
008P2_01,TWFycw==,Falseb,F/16/P,IGPEEXHI-1t,142.0,False,7406.0,0.0,0.0,0.0,0.0,Totse Datte280,False
00B82_02,TWFycw==,True!,F/16/P,IGPEEXHI-1t,102.0,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte52,True
00B82_03,TWFycw==,False!,F/16/P,IGPEEXHI-1t,108.0,False,0.0,0.0,0.0,0.0,0.0,,True
008U4_01,RWFydGg=,Falsej,G/14/S,IGPEEXHI-1t,124.0,False,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney950,True
008T5_01,RXVyb3Bh,Truej,C/5/S,IGPEEXHI-1t,140.0,False,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve899,True
0B086_01,RWFydGg=,Falsed,F/17/P,IGPEEXHI-1t,143.0,False,211.0,0.0,0.0,638.0,513.0,Jodye Kinson37,False
00R88_01,TWFycw==,True#,E/5/S,EHD Y318.5-22,145.0,False,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre248,True
009T0_01,RWFydGg=,TrueZ,G/15/S,IGPEEXHI-1t,135.0,False,0.0,0.0,0.0,0.0,0.0,Heremy Santry301,True
00G91_01,RWFydGg=,Trueh,G/16/S,IGPEEXHI-1t,126.0,False,,0.0,0.0,0.0,0.0,Deanne Yorkland337,True
0V091_02,RWFydGg=,Falsei,F/20/S,IGPEEXHI-1t,127.0,False,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland175,False
0R092_01,RWFydGg=,Falsei,G/9/P,IGPEEXHI-1t,119.0,False,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey641,False
00I92_02,RWFydGg=,True%,G/9/P,IGPEEXHI-1t,100.0,False,0.0,0.0,,0.0,0.0,Stald Hewson901,True
00X92_03,RWFydGg=,TrueZ,G/9/P,IGPEEXHI-1t,103.0,False,0.0,0.0,0.0,0.0,0.0,Tiney Hewson490,True
009Y7_01,RXVyb3Bh,Falsef,A/2/S,IGPEEXHI-1t,154.0,False,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful549,False
009L8_01,RWFydGg=,Falseb,G/11/P,IGPEEXHI-1t,126.0,False,0.0,856.0,5.0,32.0,0.0,Doria Carezquez622,False
009P8_02,RWFydGg=,Falsei,G/11/P,IGPEEXHI-1t,126.0,False,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez452,True
0G099_01,RWFydGg=,Falseb,F/19/P,EHD Y318.5-22,123.0,False,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney404,False
00R99_02,RWFydGg=,nanf,G/12/P,IGPEEXHI-1t,102.0,False,0.0,0.0,0.0,0.0,0.0,Thewis Connelson463,True
010K1_01,TWFycw==,True%,,IGPEEXHI-1t,131.0,False,0.0,0.0,0.0,0.0,0.0,Book Trad304,True
01I02_01,RWFydGg=,False!,F/23/S,IGPEEXHI-1t,118.0,False,0.0,0.0,0.0,830.0,91.0,Ritany Holson785,False
010C3_01,RWFydGg=,Falsec,F/24/S,IGPEEXHI-1t,124.0,False,0.0,,0.0,0.0,17.0,Arlen Mclainez849,True
010B3_02,RWFydGg=,True#,G/18/S,55 Rpcrgx t,109.0,False,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez262,True
01I03_03,RWFydGg=,Truei,G/18/S,IGPEEXHI-1t,106.0,False,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez959,False
01H05_01,RWFydGg=,nan$,F/21/P,IGPEEXHI-1t,127.0,False,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand549,False
0L107_01,TWFycw==,Falseg,D/2/S,IGPEEXHI-1t,121.0,False,1743.0,5.0,17.0,0.0,0.0,Coobix Hart218,False
01W08_01,RWFydGg=,Truef,G/19/S,IGPEEXHI-1t,123.0,False,0.0,0.0,0.0,0.0,0.0,Natald Handertiz257,False
0P108_02,RWFydGg=,Falseg,G/19/S,IGPEEXHI-1t,131.0,False,562.0,0.0,326.0,0.0,0.0,,False
01M08_03,RWFydGg=,False!,G/19/S,IGPEEXHI-1t,100.0,,0.0,0.0,0.0,0.0,0.0,Oline Handertiz940,True
01X10_01,RXVyb3Bh,False$,,IGPEEXHI-1t,132.0,False,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled330,False
01I10_02,RXVyb3Bh,nanh,B/5/P,IGPEEXHI-1t,140.0,False,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious91,False
0Z110_03,RXVyb3Bh,Falsef,B/5/P,IGPEEXHI-1t,142.0,False,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled194,True
0E110_04,RXVyb3Bh,True^,B/5/P,IGPEEXHI-1t,128.0,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled99,True
0B111_01,RXVyb3Bh,Truej,E/6/S,IGPEEXHI-1t,129.0,False,0.0,0.0,0.0,0.0,0.0,Aldera Supred981,True
011S2_01,RXVyb3Bh,Falsej,B/1/S,55 Rpcrgx t,148.0,True,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale457,True
011Q3_01,RWFydGg=,Falsej,F/23/P,IGPEEXHI-1t,164.0,False,0.0,0.0,804.0,0.0,0.0,Idary Carvis212,True
01Q14_01,RWFydGg=,Falsed,G/20/S,IGPEEXHI-1t,127.0,False,82.0,157.0,429.0,238.0,1.0,Maura Beckerson775,False
01F15_01,TWFycw==,nanb,F/24/P,IGPEEXHI-1t,126.0,False,0.0,0.0,0.0,0.0,,Rohs Pead700,True
0C116_01,RXVyb3Bh,Falsej,D/4/P,IGPEEXHI-1t,133.0,False,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive693,True
011V9_01,,Falsej,A/0/P,IGPEEXHI-1t,139.0,False,0.0,2344.0,0.0,65.0,6898.0,Batan Coning600,False
01N19_02,RXVyb3Bh,Trueg,A/0/P,IGPEEXHI-1t,113.0,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning655,True
0O120_01,TWFycw==,Trueg,F/25/P,IGPEEXHI-1t,124.0,False,0.0,0.0,0.0,0.0,,Bees Sacre512,True
012Z2_01,RWFydGg=,Falseh,G/21/S,IGPEEXHI-1t,129.0,False,0.0,0.0,0.0,699.0,74.0,Shelle Hayder962,False
01E23_01,RWFydGg=,False$,F/27/P,IGPEEXHI-1t,118.0,False,55.0,597.0,49.0,0.0,1.0,Iree Fielson686,False
01G26_01,TWFycw==,True%,F/27/S,IGPEEXHI-1t,167.0,False,0.0,0.0,0.0,0.0,0.0,Milly Mish370,True
012C7_01,TWFycw==,False$,E/7/S,IGPEEXHI-1t,135.0,False,701.0,0.0,296.0,0.0,25.0,Miloss Mesty57,False
0B128_01,TWFycw==,Falsef,D/3/S,IGPEEXHI-1t,161.0,True,2353.0,334.0,9.0,316.0,2.0,Grohs Fles816,False
0C128_02,TWFycw==,False$,E/8/S,IGPEEXHI-1t,145.0,False,2103.0,6.0,0.0,0.0,0.0,Barave Fles221,False
01U29_01,RWFydGg=,True%,G/22/S,EHD Y318.5-22,122.0,False,0.0,0.0,,0.0,0.0,Race Fowles928,True
01W33_01,TWFycw==,True^,F/29/S,IGPEEXHI-1t,119.0,False,0.0,0.0,0.0,0.0,0.0,Flynx Blie581,True
01G33_02,TWFycw==,False#,D/5/S,IGPEEXHI-1t,136.0,False,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie776,False
01C34_01,RWFydGg=,False#,G/17/P,IGPEEXHI-1t,119.0,False,0.0,14.0,730.0,0.0,0.0,Camina Harmontry50,True
0N136_01,RWFydGg=,False!,G/23/S,EHD Y318.5-22,147.0,False,97.0,418.0,126.0,25.0,55.0,,False
01V38_01,RWFydGg=,True#,G/18/P,IGPEEXHI-1t,113.0,False,0.0,0.0,0.0,0.0,0.0,Fayene Gambs922,True
01P38_02,RWFydGg=,False^,E/5/P,,134.0,False,0.0,22.0,0.0,564.0,207.0,Monah Gambs264,False
01H39_01,RXVyb3Bh,Truee,C/6/S,55 Rpcrgx t,135.0,False,0.0,0.0,0.0,0.0,0.0,Charda Myling649,True
0H140_01,RWFydGg=,Truef,G/19/P,IGPEEXHI-1t,124.0,False,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox776,True
